Open,Close
120.42,121.88
119.55,119.97
120,120.08
120.45,120
119.4,119.78
120,119.99
118.34,120
119.11,119.04
118.9,119.25
118.74,119.75
118.77,119.11
117.95,118.99
116.78,117.91
115.92,116.61
115.85,116.02
115.8,116.15
116.65,115.82
116.45,116.73
117.52,116.76
116.52,117.26
115.59,116.52
116.35,116.29
116.8,117.06
116.74,116.95
115.8,116.64
116.47,115.97
115.38,115.82
115.04,115.19
113.84,115.19
113.29,113.3
112.31,113.95
110.86,112.12
109.26,111.03
109.5,109.95
110,109.11
109.17,109.9
110.36,109.49
111.6,110.52
110.78,111.46
111.43,111.57
111.47,111.79
111.36,111.23
111.95,111.8
110.12,111.73
109.72,110.06
109.81,109.95
106.7,109.99
106.57,107.11
107.71,105.71
107.12,108.43
111.09,107.79
109.88,110.88
110.31,111.06
110.08,110.41
108.53,108.84
110.98,109.83
111.4,111.59
113.46,111.49
113.65,113.54
113.87,113.72
115.39,114.48
114.31,115.59
117.95,118.25
117.1,117.65
116.81,116.6
116.86,117.06
117.25,117.12
118.18,117.47
117.33,117.55
117.88,117.63
116.79,116.98
117.35,117.34
117.7,116.3
115.02,116.05
114.31,114.06
113.7,113.89
113.4,113.05
113.06,113
112.71,112.52
112.46,113.05
113.16,112.18
113.69,113.95
113,113.09
111.64,112.88
114.42,112.71
114.35,114.62
113.85,113.55
113.05,113.57
115.19,113.58
115.12,114.92
113.86,115.57
108.73,111.77
107.51,107.95
102.65,105.44
104.64,103.13
107.25,105.52
107.83,108.36
107.9,107.7
107.7,107.73
106.14,106.73
105.66,106.1
105.8,106
106.62,106.82
107.41,106.94
107.39,107.57
108.56,108.03
108.59,108.85
108.86,108.51
108.77,109.36
109.23,109.08
109.1,109.22
109.63,109.38
108.14,109.48
107.78,108.18
108.52,107.93
108.71,108
108.23,108.81
107.52,108.37
106.27,107.48
105.58,105.87
104.81,105.79
106.05,104.48
104.41,106.05
104.19,104.21
102.83,104.34
104.26,102.95
96.82,96.67
98.25,97.34
99.26,98.66
99.83,99.43
100,99.96
99.56,99.87
98.7,99.83
98.92,98.78
97.39,98.79
97.41,96.87
97.17,97.42
96.75,96.98
96.49,96.68
95.7,95.94
94.6,95.53
95.39,94.99
95.49,95.89
94.44,95.6
93.97,94.4
92.9,93.59
93,92.04
92.91,93.4
95.94,96.1
96.25,95.55
94.94,95.91
96,95.1
96.62,95.33
96.45,97.55
97.82,97.14
97.32,97.46
98.69,97.34
98.53,98.83
98.5,99.65
99.02,98.94
99.25,99.03
97.99,98.63
97.79,97.92
97.6,97.72
99.02,98.46
99.6,99.86
99.44,100.35
99.68,100.41
98.67,99.62
97.22,97.9
95.87,96.43
94.64,95.22
94.64,94.2
94.16,94.56
94.55,93.49
92.39,93.88
90,90.52
92.72,90.34
93.48,92.51
93.33,93.42
93,92.79
93.37,92.72
94,93.24
95.2,94.19
94.2,95.18
93.96,93.64
93.99,93.74
97.61,94.83
96,97.82
103.91,104.35
105,105.08
105.01,105.68
106.93,105.97
106.64,107.13
107.88,106.91
108.89,107.48
112.11,109.85
111.62,112.1
110.8,112.04
109.34,110.44
108.97,109.02
108.91,108.66
109.95,108.54
110.23,110.96
109.51,109.81
110.42,111.12
108.78,109.99
109.72,108.99
108.65,109.56
104.89,107.68
106,105.19
105.47,105.67
106.48,106.13
105.25,106.72
105.93,105.91
106.34,105.92
105.52,105.8
104.61,105.97
103.96,104.58
101.91,102.52
102.24,102.26
101.41,101.17
101.31,101.12
100.78,101.03
102.39,101.87
102.37,103.01
100.58,101.5
100.51,100.75
97.65,100.53
96.86,96.69
97.2,96.91
96.05,96.76
93.98,96.1
96.4,94.69
96.31,96.88
96,96.04
98.84,96.26
96.67,98.12
95.02,96.64
94.19,93.99
93.79,93.7
95.92,94.27
94.29,94.99
93.13,95.01
96.52,94.02
95.86,96.6
95,96.35
95.42,94.48
96.47,96.43
94.79,97.34
93.79,94.09
